Date,AAPL,SBUX,MSFT,CSCO,QCOM,FB,AMZN,TSLA,AMD,ZNGA
07/25/2016,-3,4,4,14,13,6.0,-1,1,2,2
07/26/2016,-4,5,5,15,14,7.0,-2,2,3,3
07/27/2016,1,-1,-1,16,15,8.0,-3,3,4,4
07/28/2016,2,1,-2,-1,16,9.0,1,4,5,5
07/29/2016,3,2,1,-2,17,10.0,2,5,6,6
08/01/2016,4,-1,2,1,-1,11.0,3,-1,-1,7
08/02/2016,5,-2,3,-1,-2,-1.0,4,-2,-2,-1
08/03/2016,6,-3,4,1,-3,-2.0,-1,-3,-3,1
08/04/2016,7,-4,5,2,-4,1.0,1,1,1,2
08/05/2016,8,-5,6,3,1,2.0,2,2,2,-1
08/08/2016,9,-6,7,4,2,3.0,3,-1,3,-2
08/09/2016,10,-7,8,5,3,4.0,4,1,4,-3
08/10/2016,11,1,9,-1,-1,5.0,5,-1,-1,-4
08/11/2016,12,-1,10,1,1,6.0,6,-2,1,-5
08/12/2016,13,-2,-1,-1,-1,7.0,7,-3,2,-6
08/15/2016,14,-3,1,1,1,-1.0,-1,-4,3,1
08/16/2016,15,-4,-1,2,2,-2.0,-2,-5,4,-1
08/17/2016,16,1,-2,-1,3,1.0,-3,-6,-1,-2
08/18/2016,17,-1,-3,-2,4,-1.0,-4,-7,1,-3
08/19/2016,18,-2,-4,-3,5,-2.0,-5,1,2,-4
08/22/2016,-1,1,1,-4,6,1.0,-6,-1,3,-5
08/23/2016,-2,2,2,1,7,2.0,1,1,4,-6
08/24/2016,-3,3,3,2,-1,-1.0,-1,-1,-1,-7
08/25/2016,-4,4,4,3,-2,1.0,-2,-2,1,-8
08/26/2016,-5,5,5,4,1,2.0,1,-3,2,1
08/29/2016,-6,-1,6,5,2,3.0,2,-4,3,2
08/30/2016,-7,-2,-1,6,3,4.0,3,-5,-1,3
08/31/2016,-8,-3,-2,7,4,5.0,4,-6,-2,4
09/01/2016,1,-4,-3,8,5,6.0,5,-7,-3,-1
09/02/2016,2,-5,-4,9,6,7.0,6,-8,1,1
09/06/2016,3,-6,-5,10,-1,8.0,7,-9,-1,2
09/07/2016,4,1,1,11,-2,9.0,8,-10,-2,3
09/08/2016,-1,-1,-1,-1,-3,10.0,9,-11,-3,4
09/09/2016,-2,-2,-2,-2,-4,-1.0,-1,-12,-4,-1
09/12/2016,1,-3,1,1,1,1.0,-2,1,-5,1
09/13/2016,2,-4,-1,-1,-1,-1.0,-3,-1,-6,2
09/14/2016,3,-5,-2,-2,-2,-2.0,-4,-2,1,3
09/15/2016,4,-6,1,1,1,1.0,1,1,-1,4
09/16/2016,5,-7,2,-1,2,2.0,2,2,1,5
09/19/2016,6,-8,-1,-2,3,3.0,3,3,2,-1
09/20/2016,7,-9,-2,1,4,4.0,4,4,3,-2
09/21/2016,8,1,1,2,5,5.0,5,5,4,1
09/22/2016,9,2,2,3,6,6.0,6,6,5,-1
09/23/2016,-1,3,-1,-1,-1,-1.0,7,7,6,-2
09/26/2016,-2,-1,-2,-2,-2,-2.0,8,8,-1,-3
09/27/2016,-3,1,1,1,1,1.0,9,-1,1,1
09/28/2016,1,-1,2,2,2,2.0,10,-2,2,-1
09/29/2016,-1,-2,-1,-1,3,-1.0,11,-3,3,-2
09/30/2016,1,1,1,1,4,-2.0,12,-4,4,1
10/03/2016,-1,-1,-1,-1,5,1.0,13,1,5,-1
10/04/2016,1,-2,-2,-2,6,-1.0,14,2,6,1
10/05/2016,2,-3,1,1,7,1.0,15,-1,-1,2
10/06/2016,3,-4,2,-1,8,2.0,16,-2,1,3
10/07/2016,4,1,3,-2,9,3.0,17,-3,-1,4
10/10/2016,5,-1,4,-3,-1,4.0,18,-4,1,5
10/11/2016,6,-2,-1,-4,-2,-1.0,-1,-5,-1,-1
10/12/2016,7,-3,-2,-5,-3,-2.0,-2,1,-2,1
10/13/2016,8,-4,-3,-6,-4,-3.0,-3,-1,-3,-1
10/14/2016,9,-5,1,-7,-5,-4.0,-4,-2,1,-2
10/17/2016,10,-6,-1,-8,-6,-5.0,-5,-3,2,-3
10/18/2016,11,-7,1,1,1,1.0,-6,1,3,-4
10/19/2016,-1,1,2,-1,-1,2.0,-7,2,4,1
10/20/2016,-2,2,-1,-2,1,3.0,-8,-1,5,2
10/21/2016,-3,3,1,-3,2,4.0,1,1,-1,3
10/24/2016,1,4,2,1,3,5.0,2,2,1,4
10/25/2016,2,-1,3,2,4,6.0,3,3,2,5
10/26/2016,-1,-2,4,3,5,-1.0,-1,4,3,-1
10/27/2016,-2,-3,-1,-1,6,-2.0,-2,5,-1,-2
10/28/2016,-3,-4,-2,1,-1,1.0,-3,-1,1,-3
10/31/2016,-4,-5,-3,2,1,-1.0,-4,-2,2,-4
11/01/2016,-5,-6,-4,-1,-1,-2.0,-5,-3,-1,-5
11/02/2016,-6,-7,-5,-2,-2,-3.0,-6,-4,-2,-6
11/03/2016,-7,-8,-6,-3,-3,-4.0,-7,-5,-3,-7
11/04/2016,-8,1,-7,-4,-4,-5.0,-8,-6,-4,-8
11/07/2016,-9,2,1,1,1,-6.0,1,1,1,-9
11/08/2016,1,3,2,2,2,1.0,2,2,2,1
11/09/2016,2,4,3,3,-1,-1.0,-1,-1,3,2
11/10/2016,-1,-1,-1,4,-2,-2.0,-2,-2,-1,-1
11/11/2016,-2,1,-2,5,-3,-3.0,-3,-3,1,1
11/14/2016,-3,2,-3,6,-4,-4.0,-4,-4,2,2
11/15/2016,-4,3,1,7,1,-5.0,1,-5,3,3
11/16/2016,1,4,2,8,-1,-6.0,2,-6,4,-1
11/17/2016,2,5,3,-1,1,1.0,3,1,5,-2
11/18/2016,3,6,4,-2,2,-1.0,4,-1,6,-3
11/21/2016,4,7,5,-3,3,1.0,5,-2,7,-4
11/22/2016,5,8,6,-4,4,2.0,6,1,8,-5
11/23/2016,6,9,-1,-5,5,3.0,7,2,9,1
11/25/2016,7,10,-2,1,6,4.0,8,3,10,2
11/28/2016,8,11,1,-1,-1,5.0,-1,4,11,3
11/29/2016,9,12,2,-2,-2,6.0,-2,-1,12,4
11/30/2016,-1,13,-1,-3,1,-1.0,-3,-2,13,5
12/01/2016,-2,14,-2,-4,-1,-2.0,-4,-3,-1,6
12/02/2016,-3,-1,-3,-5,-2,-3.0,-5,-4,-2,-1
12/05/2016,-4,-2,1,1,1,1.0,1,1,1,1
12/06/2016,1,-3,2,-1,2,2.0,2,2,2,2
12/07/2016,2,1,3,1,3,3.0,3,3,3,3
12/08/2016,3,2,4,2,4,4.0,4,4,4,4
12/09/2016,4,3,5,3,5,5.0,5,5,5,-1
12/12/2016,5,4,6,4,6,-1.0,-1,6,6,-2
12/13/2016,6,5,7,5,7,1.0,1,7,7,-3
12/14/2016,7,-1,8,6,-1,2.0,2,8,8,-4
12/15/2016,8,-2,9,7,-2,3.0,-1,9,9,-5
12/16/2016,9,-3,-1,8,-3,-1.0,-2,10,10,-6
12/19/2016,10,-4,1,9,-4,-2.0,1,11,11,-7
12/20/2016,11,-5,2,-1,-5,-3.0,2,12,12,-8
12/21/2016,12,-6,3,-2,1,-4.0,3,13,13,-9
12/22/2016,-1,-7,4,-3,-1,-5.0,-1,14,14,-10
12/23/2016,1,-8,-1,1,-2,-6.0,-2,15,15,-11
12/27/2016,2,-9,-2,2,1,-7.0,1,16,16,-12
12/28/2016,-1,-10,-3,-1,-1,-8.0,2,17,-1,-13
12/29/2016,-2,-11,-4,-2,-2,-9.0,-1,-1,-2,1
12/30/2016,-3,-12,-5,-3,-3,-10.0,-2,-2,-3,-1
01/03/2017,-4,-13,-6,1,-4,1.0,-3,1,-4,1
01/04/2017,-5,1,-7,-1,-5,2.0,-4,2,-5,2
01/05/2017,1,2,-8,-2,-6,3.0,1,3,-6,3
01/06/2017,2,3,1,-3,-7,4.0,2,4,-7,4
01/09/2017,3,4,2,-4,1,5.0,3,5,1,-1
01/10/2017,4,5,3,1,2,6.0,4,6,2,-2
01/11/2017,5,6,4,-1,3,7.0,5,7,-1,-3
01/12/2017,6,7,-1,-2,4,8.0,6,8,-2,1
01/13/2017,7,8,-2,-3,5,9.0,7,9,-3,-1
01/17/2017,8,9,-3,-4,-1,10.0,8,10,-4,-2
01/18/2017,9,10,-4,-5,-2,11.0,-1,11,-5,-3
01/19/2017,10,-1,-5,-6,-3,12.0,1,12,-6,1
01/20/2017,11,-2,1,1,-4,-1.0,-1,13,-7,2
01/23/2017,12,-3,2,2,-5,1.0,1,14,-8,-1
01/24/2017,13,1,3,3,-6,2.0,2,15,1,-2
01/25/2017,14,2,4,4,-7,3.0,3,16,2,1
01/26/2017,15,3,5,5,-8,4.0,4,17,3,-1
01/27/2017,16,-1,6,6,-9,5.0,5,18,4,-2
01/30/2017,17,-2,7,7,-10,-1.0,-1,-1,5,1
01/31/2017,-1,-3,-1,-1,-11,-2.0,-2,1,-1,-1
02/01/2017,1,-4,-2,-2,-12,1.0,1,-1,1,-2
02/02/2017,2,-5,-3,1,-13,-1.0,2,1,2,-3
02/03/2017,3,1,-4,2,-14,-2.0,-1,2,3,1
02/06/2017,4,2,-5,3,-15,1.0,-2,3,4,-1
02/07/2017,5,3,-6,4,1,2.0,-3,4,5,1
02/08/2017,6,4,-7,5,-1,3.0,1,5,6,-1
02/09/2017,7,5,1,6,-2,4.0,2,6,7,-2
02/10/2017,8,6,2,7,1,5.0,3,7,8,1
02/13/2017,9,7,3,8,2,6.0,4,8,9,2
02/14/2017,10,8,4,9,3,7.0,5,9,-1,3
02/15/2017,11,9,5,10,4,-1.0,6,10,-2,4
02/16/2017,12,10,6,11,5,1.0,7,-1,-3,-1
02/17/2017,13,11,7,12,6,-1.0,8,-2,-4,1
02/21/2017,14,12,-1,13,7,1.0,9,1,1,2
02/22/2017,15,13,-2,14,8,2.0,10,-1,2,3
02/23/2017,16,14,1,15,9,3.0,11,-2,3,-1
02/24/2017,17,15,2,16,10,4.0,-1,-3,4,-2
02/27/2017,18,-1,-1,17,-1,5.0,-2,-4,5,-3
02/28/2017,19,-2,-2,18,-2,-1.0,-3,-5,-1,-4
03/01/2017,20,1,1,19,1,1.0,1,-6,1,1
03/02/2017,21,2,-1,20,-1,2.0,-1,-7,-1,2
03/03/2017,22,-1,-2,-1,-2,3.0,1,1,-2,3
03/06/2017,23,-2,-3,-2,-3,4.0,-1,-1,-3,4
03/07/2017,24,-3,1,-3,1,5.0,-2,-2,-4,-1
03/08/2017,-1,-4,2,-4,2,6.0,1,-3,-5,-2
03/09/2017,-2,-5,3,-5,3,7.0,2,-4,1,1
03/10/2017,1,-6,4,1,4,8.0,3,-5,2,2
03/13/2017,2,-7,-1,-1,5,9.0,4,1,3,3
03/14/2017,-1,-8,-2,-2,6,10.0,-1,2,4,-1
03/15/2017,1,-9,1,1,7,11.0,1,3,5,1
03/16/2017,2,1,-1,2,8,12.0,2,4,-1,2
03/17/2017,-1,2,1,3,-1,13.0,-1,5,-2,-1
03/20/2017,1,3,2,4,-2,14.0,1,6,1,-2
03/21/2017,-1,4,-1,-1,-3,-1.0,-1,-1,-1,-3
03/22/2017,1,5,1,1,-4,1.0,-2,-2,1,-4
03/23/2017,2,6,2,-1,-5,2.0,-3,-3,-1,1
03/24/2017,-1,7,3,1,-6,3.0,-4,1,-2,2
03/27/2017,1,8,4,-1,-7,4.0,-5,2,-3,3
03/28/2017,2,9,5,-2,1,5.0,1,3,-4,4
03/29/2017,3,10,6,-3,2,6.0,2,4,-5,5
03/30/2017,4,11,7,-4,3,7.0,3,5,1,6
03/31/2017,5,12,8,-5,4,8.0,4,6,2,7
04/03/2017,6,13,-1,-6,-1,9.0,5,7,3,-1
04/04/2017,7,14,1,-7,-2,-1.0,6,8,-1,-2
04/05/2017,-1,15,-1,-8,-3,-2.0,7,9,-2,-3
04/06/2017,-2,-1,1,-9,-4,-3.0,-1,10,-3,-4
04/07/2017,-3,-2,2,-10,-5,-4.0,-2,11,-4,-5
04/10/2017,-4,-3,-1,-11,1,-5.0,1,12,-5,-6
04/11/2017,-5,-4,-2,-12,-1,-6.0,2,13,-6,-7
04/12/2017,-6,-5,-3,-13,-2,-7.0,-1,-1,-7,-8
04/13/2017,-7,-6,-4,-14,-3,-8.0,-2,1,-8,-9
04/17/2017,-8,1,1,-15,-4,1.0,1,-1,1,-10
04/18/2017,-9,2,2,1,-5,2.0,2,-2,2,1
04/19/2017,-10,3,-1,-1,-6,3.0,-1,1,-1,2
04/20/2017,1,4,1,1,-7,4.0,1,-1,1,3
04/21/2017,2,5,2,2,-8,5.0,-1,1,2,-1
04/24/2017,3,6,3,3,1,6.0,1,2,3,1
04/25/2017,4,7,4,4,2,7.0,2,3,4,2
04/26/2017,5,8,5,5,3,8.0,3,4,5,-1
04/27/2017,6,9,6,6,4,9.0,4,-1,6,1
04/28/2017,7,-1,7,7,5,10.0,5,1,-1,2
05/01/2017,8,-2,8,8,6,11.0,6,2,1,3
05/02/2017,9,1,9,9,-1,12.0,7,3,-1,4
05/03/2017,10,2,10,10,1,13.0,8,-1,-2,5
05/04/2017,11,3,-1,11,2,-1.0,-1,-2,-3,-1
05/05/2017,12,4,1,12,3,-2.0,-2,1,-4,1
05/08/2017,13,5,2,13,4,1.0,1,-1,-5,2
05/09/2017,14,6,3,-1,5,-1.0,2,1,-6,3
05/10/2017,15,-1,4,-2,6,-2.0,3,2,1,4
05/11/2017,16,-2,-1,-3,-1,-3.0,4,3,2,5
05/12/2017,17,-3,-2,-4,1,-4.0,5,4,3,-1
05/15/2017,18,1,-3,1,2,-5.0,6,-1,4,1
05/16/2017,19,-1,1,2,3,-6.0,7,-2,5,2
05/17/2017,-1,-2,-1,-1,-1,-7.0,-1,-3,-1,-1
05/18/2017,-2,-3,-2,-2,1,-8.0,1,-4,-2,1
05/19/2017,1,1,-3,-3,2,1.0,2,-5,-3,2
05/22/2017,2,2,1,-4,3,2.0,3,-6,-4,3
05/23/2017,3,3,2,-5,4,3.0,4,-7,-5,4
05/24/2017,-1,4,3,-6,5,4.0,5,1,-6,5
05/25/2017,1,5,4,-7,6,5.0,6,2,-7,-1
05/26/2017,-1,6,5,-8,-1,6.0,7,3,-8,-2
05/30/2017,1,7,6,1,-2,7.0,8,4,1,1
05/31/2017,-1,8,7,-1,-3,-1.0,9,5,2,-1
06/01/2017,-2,9,8,1,1,1.0,10,6,-1,1
06/02/2017,1,10,9,2,2,2.0,11,7,-2,2
06/05/2017,-1,11,10,-1,3,3.0,12,8,1,3
06/06/2017,1,12,11,-2,-1,-1.0,-1,9,2,4
06/07/2017,2,-1,12,-3,-2,1.0,1,10,3,-1
06/08/2017,3,-2,-1,-4,1,2.0,2,11,4,-2
06/09/2017,-1,-3,-2,-5,-1,-1.0,-1,-1,5,1
06/12/2017,-2,-4,-3,-6,-2,-2.0,-2,1,-1,-1
06/13/2017,-3,-5,-4,1,-3,1.0,-3,2,-2,-2
06/14/2017,-4,-6,-5,2,-4,-1.0,-4,3,-3,-3
06/15/2017,-5,-7,-6,3,-5,-2.0,-5,4,-4,1
06/16/2017,-6,-8,-7,4,-6,1.0,1,-1,-5,2
06/19/2017,1,1,1,5,1,2.0,2,-2,1,3
06/20/2017,-1,-1,-1,6,-1,3.0,3,1,2,-1
06/21/2017,1,-2,1,7,-2,4.0,4,2,3,1
06/22/2017,2,-3,2,8,-3,5.0,5,3,4,-1
06/23/2017,3,-4,3,9,1,6.0,6,4,5,1
06/26/2017,4,-5,-1,10,-1,-1.0,-1,-1,6,2
06/27/2017,-1,-6,-2,-1,-2,-2.0,-2,-2,-1,-1
06/28/2017,1,-7,-3,1,-3,1.0,1,-3,-2,-2
06/29/2017,-1,-8,-4,-1,-4,-1.0,-1,-4,-3,-3
06/30/2017,-2,-9,-5,-2,-5,-2.0,-2,-5,-4,-4
07/03/2017,-3,-10,-6,-3,-6,-3.0,-3,-6,-5,-5
07/05/2017,1,-11,1,-4,1,-4.0,1,-7,1,-6
07/06/2017,-1,-12,-1,-5,-1,-5.0,-1,-8,2,-7
07/07/2017,1,1,1,-6,1,1.0,1,-9,3,1
07/10/2017,2,-1,2,-7,2,2.0,2,-10,4,2
07/11/2017,3,-2,3,1,-1,3.0,3,1,5,3
07/12/2017,4,1,4,2,1,4.0,4,2,6,4
07/13/2017,5,2,5,3,2,5.0,5,-1,-1,-1
07/14/2017,6,3,6,4,3,6.0,6,1,1,1
07/17/2017,7,-1,7,5,4,7.0,7,-1,-1,-1
07/18/2017,8,-2,8,6,-1,8.0,8,1,-2,1
07/19/2017,9,-3,9,7,1,9.0,9,-1,-3,2
07/20/2017,10,-4,10,8,-1,10.0,10,1,1,3
07/21/2017,11,-5,11,9,-2,11.0,11,2,2,4
07/24/2017,12,-6,-1,10,-3,12.0,12,3,3,5
07/25/2017,13,1,1,11,-4,13.0,13,4,4,6
07/26/2017,14,-1,2,-1,-5,14.0,14,5,5,-1
07/27/2017,-1,1,-1,-2,-6,15.0,15,-1,-1,-2
07/28/2017,-2,-1,-2,-3,-7,16.0,-1,-2,-2,-3
07/31/2017,-3,-2,-3,-4,1,-1.0,-2,-3,-3,-4
08/01/2017,1,-3,-4,1,2,1.0,-3,-4,-4,-5
08/02/2017,2,1,-5,-1,-1,-1.0,-4,-5,-5,-6
08/03/2017,3,2,-6,-2,-2,-2.0,-5,1,-6,1
08/04/2017,4,-1,1,1,-3,1.0,-6,2,-7,-1
08/07/2017,5,1,-1,2,-4,2.0,-7,3,1,-2
08/08/2017,6,-1,1,-1,-5,3.0,-8,4,-1,1
08/09/2017,7,-2,-1,-2,1,4.0,-9,5,-2,2
08/10/2017,-1,-3,-2,-3,-1,-1.0,-10,-1,-3,-1
08/11/2017,-2,-4,1,1,1,-2.0,-11,1,-4,-2
08/14/2017,1,-5,2,2,2,1.0,1,2,1,-3
08/15/2017,2,-6,3,3,3,2.0,2,3,2,-4
08/16/2017,3,1,4,4,-1,-1.0,-1,4,-1,-5
08/17/2017,-1,-1,-1,-1,-2,-2.0,-2,-1,-2,-6
08/18/2017,-2,-2,-2,-2,-3,-3.0,-3,-2,-3,1
08/21/2017,-3,1,-3,-3,-4,-4.0,-4,-3,-4,-1
08/22/2017,1,2,1,1,1,1.0,1,-4,-5,1
08/23/2017,2,3,-1,-1,-1,2.0,-1,1,1,-1
08/24/2017,3,4,-2,1,1,-1.0,-2,2,2,1
08/25/2017,4,5,1,2,-1,-2.0,-3,-1,3,-1
08/28/2017,5,6,2,3,-2,-3.0,-4,-2,-1,-2
08/29/2017,6,-1,3,4,-3,1.0,1,-3,-2,-3
08/30/2017,7,1,4,5,1,2.0,2,1,1,1
08/31/2017,8,2,5,6,2,3.0,3,2,2,2
09/01/2017,9,3,6,7,-1,4.0,4,3,3,3
09/05/2017,-1,4,-1,-1,-2,-1.0,-1,-1,4,-1
09/06/2017,-2,-1,-2,-2,-3,1.0,-2,-2,-1,-2
09/07/2017,-3,-2,1,-3,-4,2.0,1,1,-2,1
09/08/2017,-4,-3,2,-4,-5,-1.0,-1,-1,-3,2
09/11/2017,1,1,3,1,1,1.0,1,1,-4,3
09/12/2017,-1,-1,4,2,2,2.0,2,2,-5,4
09/13/2017,-2,1,5,3,3,3.0,3,3,-6,5
09/14/2017,-3,2,6,4,4,-1.0,4,4,-7,-1
09/15/2017,1,3,7,5,5,-2.0,-1,5,1,1
09/18/2017,-1,4,8,6,6,-3.0,-2,6,2,2
09/19/2017,-2,5,9,7,7,1.0,-3,-1,3,3
09/20/2017,-3,6,-1,8,-1,2.0,-4,-2,4,4
09/21/2017,-4,7,-2,9,1,-1.0,-5,-3,5,5
09/22/2017,-5,8,-3,10,2,-2.0,-6,-4,6,-1
09/25/2017,-6,-1,-4,11,-1,-3.0,-7,-5,-1,-2
09/26/2017,1,1,-5,12,-2,-4.0,-8,-6,-2,-3
09/27/2017,2,-1,1,13,-3,1.0,1,-7,-3,-4
09/28/2017,-1,-2,2,-1,1,2.0,2,-8,-4,-5
09/29/2017,1,-3,3,1,2,3.0,3,-9,-5,1
10/02/2017,2,-4,4,2,3,4.0,4,-10,-6,2
10/03/2017,3,-5,-1,3,4,5.0,-1,1,1,3
10/04/2017,-1,-6,1,-1,5,-1.0,1,2,2,4
10/05/2017,1,1,2,-2,6,1.0,2,3,3,5
10/06/2017,2,2,3,1,7,2.0,3,4,4,-1
10/09/2017,3,3,4,2,8,3.0,4,-1,5,-2
10/10/2017,4,4,5,-1,9,4.0,5,1,6,-3
10/11/2017,5,5,6,-2,10,5.0,6,2,7,-4
10/12/2017,6,6,7,-3,-1,6.0,7,3,8,1
10/13/2017,7,7,8,-4,-2,7.0,8,4,9,2
10/16/2017,8,-1,9,1,-3,8.0,9,-1,10,3
10/17/2017,9,-2,10,2,-4,9.0,10,1,11,4
10/18/2017,10,1,11,3,-5,10.0,-1,2,-1,5
10/19/2017,-1,2,12,4,-6,-1.0,-2,-1,-2,6
10/20/2017,-2,-1,13,5,-7,1.0,-3,-2,-3,7
10/23/2017,-3,-2,14,6,1,-1.0,-4,-3,1,-1
10/24/2017,1,-3,15,7,2,-2.0,-5,-4,2,-2
10/25/2017,-1,-4,16,8,3,-3.0,-6,-5,-1,-3
10/26/2017,1,1,17,-1,4,-4.0,-7,-6,-2,-4
10/27/2017,2,2,18,1,5,1.0,1,-7,-3,-5
10/30/2017,3,3,19,-1,6,2.0,2,-8,-4,1
10/31/2017,4,-1,20,-2,-1,3.0,3,1,-5,2
11/01/2017,5,1,21,1,1,4.0,4,-1,-6,3
11/02/2017,6,-1,22,-1,2,-1.0,5,-2,-7,4
11/03/2017,7,1,23,1,3,-2.0,6,-3,1,5
11/06/2017,8,2,24,2,4,1.0,7,-4,2,-1
11/07/2017,9,3,25,3,5,2.0,8,-5,3,-2
11/08/2017,10,4,26,4,6,-1.0,9,-6,4,1
11/09/2017,11,5,-1,-1,7,-2.0,10,-7,-1,2
11/10/2017,-1,-1,-2,-2,8,-3.0,11,-8,-2,3
11/13/2017,-2,-2,-3,-3,9,-4.0,12,1,-3,4
11/14/2017,-3,1,1,-4,10,-5.0,13,2,-4,-1
11/15/2017,-4,-1,-1,1,11,-6.0,-1,3,-5,-2
11/16/2017,-5,1,-2,2,12,1.0,1,4,1,1
11/17/2017,-6,-1,-3,3,13,2.0,-1,5,2,2
11/20/2017,-7,-2,-4,4,14,-1.0,-2,-1,3,3
11/21/2017,1,1,1,5,15,1.0,1,1,4,4
11/22/2017,2,2,-1,6,16,2.0,2,-1,5,5
11/24/2017,3,-1,1,7,17,3.0,3,1,6,6
11/27/2017,4,-2,2,8,18,4.0,4,2,7,7
11/28/2017,-1,1,3,9,19,5.0,5,3,-1,8
11/29/2017,-2,2,-1,10,-1,-1.0,-1,-1,-2,-1
11/30/2017,-3,3,1,11,-2,-2.0,1,-2,-3,-2
12/01/2017,-4,4,2,12,-3,-3.0,-1,-3,-4,-3
12/04/2017,-5,5,-1,13,-4,-4.0,-2,-4,-5,-4
12/05/2017,-6,6,-2,-1,-5,-5.0,-3,-5,-6,-5
12/06/2017,-7,7,1,-2,-6,1.0,1,1,-7,-6
12/07/2017,-8,8,-1,-3,1,2.0,2,2,-8,1
12/08/2017,-9,-1,1,1,-1,3.0,3,3,-9,-1
12/11/2017,1,1,2,2,1,4.0,4,4,1,1
12/12/2017,2,2,3,3,-1,-1.0,5,5,-1,2
12/13/2017,3,3,4,4,-2,1.0,6,6,1,3
12/14/2017,4,4,-1,-1,-3,2.0,7,7,2,4
12/15/2017,5,-1,1,1,-4,3.0,8,8,3,5
12/18/2017,6,-2,2,2,1,4.0,9,9,4,6
12/19/2017,7,-3,-1,3,-1,-1.0,10,-1,5,-1
12/20/2017,8,-4,-2,4,-2,-2.0,-1,-2,6,-2
12/21/2017,9,-5,-3,5,-3,-3.0,-2,-3,7,1
